qb_id,qb_name,team,season,epa_per_play,attempts,completion_rate,sack_rate
00-0026498,M.Stafford,LA,2025,0.21804404,741,0.6126855600539811,0.03766233766233766
00-0026516,B.Colquitt,MIN,2020,-0.947,1,0.0,0.0
00-0026544,C.Daniel,CHI,2019,0.04726383,71,0.6338028169014085,0.08974358974358974
00-0026544,C.Daniel,DET,2020,-0.29938516,45,0.6444444444444445,0.0625
00-0026544,C.Daniel,LAC,2022,0.10809502,14,0.5714285714285714,0.06666666666666667
00-0026625,B.Hoyer,IND,2019,-0.42454508,71,0.49295774647887325,0.06578947368421052
00-0026625,B.Hoyer,NE,2020,-0.27945572,26,0.5769230769230769,0.07142857142857142
00-0026625,B.Hoyer,NE,2021,1.8979213,11,0.8181818181818182,0.0
00-0026625,B.Hoyer,NE,2022,-0.30378914,7,0.7142857142857143,0.125
00-0026625,B.Hoyer,LV,2023,-0.20420402,43,0.5348837209302325,0.022727272727272728
00-0027114,T.Morstead,NYJ,2023,2.6709,1,1.0,0.0
00-0027150,J.Edelman,NE,2019,2.7680333,2,1.0,0.0
00-0027150,J.Edelman,NE,2020,1.7221525,2,1.0,0.0
00-0027685,E.Sanders,SF,2019,3.320115,1,1.0,0.0
00-0027688,C.McCoy,WAS,2019,-0.74084324,33,0.5454545454545454,0.15384615384615385
00-0027688,C.McCoy,NYG,2020,-0.1310129,72,0.5555555555555556,0.06493506493506493
00-0027688,C.McCoy,ARI,2021,0.12045091,105,0.7047619047619048,0.05405405405405406
00-0027688,C.McCoy,ARI,2022,-0.2356594,145,0.6206896551724138,0.08227848101265822
00-0027891,G.Tate,NYG,2020,0.93269914,2,0.5,0.0
00-0027939,C.Newton,CAR,2019,-0.14004515,94,0.5319148936170213,0.06
00-0027939,C.Newton,NE,2020,-0.027901033,398,0.6080402010050251,0.07226107226107226
00-0027939,C.Newton,CAR,2021,-0.2639834,137,0.5036496350364964,0.06802721088435375
00-0027948,B.Gabbert,TB,2020,0.07501242,17,0.5294117647058824,0.05555555555555555
00-0027948,B.Gabbert,TB,2021,0.015986249,12,0.5833333333333334,0.07692307692307693
00-0027948,B.Gabbert,TB,2022,0.026905507,8,0.75,0.0
00-0027948,B.Gabbert,KC,2023,-0.31373534,36,0.5,0.02702702702702703
00-0027973,A.Dalton,CIN,2019,-0.032146405,560,0.5607142857142857,0.06197654941373534
00-0027973,A.Dalton,DAL,2020,-0.02319679,357,0.6050420168067226,0.06299212598425197
00-0027973,A.Dalton,CHI,2021,-0.10346177,256,0.58203125,0.06569343065693431
00-0027973,A.Dalton,NO,2022,0.018560724,404,0.6237623762376238,0.05827505827505827
00-0027973,A.Dalton,CAR,2023,0.09327963,61,0.5573770491803278,0.046875
00-0027973,A.Dalton,CAR,2024,-0.14934948,168,0.6309523809523809,0.04
00-0027973,A.Dalton,CAR,2025,-0.21641783,45,0.5555555555555556,0.1509433962264151
00-0028002,R.Cobb,DAL,2019,-0.39894006,1,0.0,0.0
00-0028002,R.Cobb,HOU,2020,-0.5173711,1,0.0,0.0
00-0028064,B.Powell,NYJ,2019,-0.5224095,1,0.0,0.0
00-0028118,T.Taylor,LAC,2019,0.60872895,6,0.6666666666666666,0.0
00-0028118,T.Taylor,LAC,2020,0.009173036,32,0.5,0.058823529411764705
00-0028118,T.Taylor,HOU,2021,-0.0441135,162,0.5617283950617284,0.07428571428571429
00-0028118,T.Taylor,NYG,2022,0.26231945,12,0.5,0.2
00-0028118,T.Taylor,NYG,2023,0.012547047,192,0.6041666666666666,0.08133971291866028
00-0028118,T.Taylor,NYJ,2024,0.44514573,25,0.68,0.0
00-0028118,T.Taylor,NYJ,2025,-0.048091605,147,0.54421768707483,0.08695652173913043
00-0028664,C.Jones,DAL,2020,-3.3216047,1,0.0,0.0
00-0028872,J.Hekker,LA,2019,1.0816534,3,0.6666666666666666,0.0
00-0028872,J.Hekker,LA,2021,-1.7645458,2,0.5,0.0
00-0028872,J.Hekker,CAR,2023,-1.9410884,1,1.0,0.0
00-0028872,J.Hekker,CAR,2024,-2.8560174,2,0.0,0.0
00-0028986,C.Keenum,WAS,2019,-0.030177921,262,0.6106870229007634,0.05415162454873646
00-0028986,C.Keenum,CLE,2020,-0.4156521,10,0.5,0.0
00-0028986,C.Keenum,CLE,2021,-0.053115703,77,0.6103896103896104,0.06097560975609756
00-0028986,C.Keenum,BUF,2022,-0.82661057,7,0.2857142857142857,0.0
00-0028986,C.Keenum,HOU,2023,-0.35002252,59,0.576271186440678,0.09230769230769231
00-0029000,C.Beasley,BUF,2020,2.913771,1,1.0,0.0
00-0029000,C.Beasley,BUF,2021,-0.47759083,1,0.0,0.0
00-0029263,R.Wilson,SEA,2019,0.15801375,630,0.6031746031746031,0.07894736842105263
00-0029263,R.Wilson,SEA,2020,0.10669546,638,0.6191222570532915,0.07536231884057971
00-0029263,R.Wilson,SEA,2021,0.03285576,435,0.5954022988505747,0.07051282051282051
00-0029263,R.Wilson,DEN,2022,-0.07521824,538,0.5427509293680297,0.09274873524451939
00-0029263,R.Wilson,DEN,2023,-0.04520986,491,0.604887983706721,0.08395522388059702
00-0029263,R.Wilson,PIT,2024,0.02130982,401,0.5835411471321695,0.08447488584474885
00-0029263,R.Wilson,NYG,2025,-0.12260353,129,0.5348837209302325,0.07194244604316546
00-0029567,N.Foles,JAX,2019,-0.12690802,128,0.6015625,0.058823529411764705
00-0029567,N.Foles,CHI,2020,-0.13401407,330,0.6121212121212121,0.05172413793103448
00-0029567,N.Foles,CHI,2021,0.15037961,40,0.6,0.09090909090909091
00-0029567,N.Foles,IND,2022,-0.67043334,50,0.5,0.13793103448275862
00-0029604,K.Cousins,MIN,2019,0.13143873,543,0.6390423572744015,0.06217616580310881
00-0029604,K.Cousins,MIN,2020,0.16294153,558,0.6254480286738351,0.06532663316582915
00-0029604,K.Cousins,MIN,2021,0.10967493,587,0.6337308347529813,0.04552845528455285
00-0029604,K.Cousins,MIN,2022,0.055200595,729,0.6241426611796982,0.05935483870967742
00-0029604,K.Cousins,MIN,2023,0.0670983,326,0.6625766871165644,0.04956268221574344
00-0029604,K.Cousins,ATL,2024,0.033650987,478,0.6338912133891214,0.05533596837944664
00-0029604,K.Cousins,ATL,2025,-0.023036778,281,0.5907473309608541,0.04421768707482993
00-0029623,A.Tanney,NYG,2019,-0.04524401,1,1.0,0.0
00-0029664,J.Gordon,SEA,2019,-2.8734639,1,0.0,0.0
00-0029665,R.Griffin III,BAL,2019,0.018219447,43,0.5348837209302325,0.10416666666666667
00-0029665,R.Griffin,BAL,2020,-1.1958596,17,0.47058823529411764,0.15
00-0029692,B.Anger,DAL,2021,3.8561704,1,1.0,0.0
00-0029692,B.Anger,DAL,2023,1.053,1,0.0,0.0
00-0029692,B.Anger,DAL,2024,-2.8435113,2,0.5,0.0
00-0029701,R.Tannehill,TEN,2019,0.19276963,380,0.6236842105263158,0.08653846153846154
00-0029701,R.Tannehill,TEN,2020,0.2410996,534,0.6235955056179775,0.044722719141323794
00-0029701,R.Tannehill,TEN,2021,0.047978383,603,0.6169154228855721,0.07373271889400922
00-0029701,R.Tannehill,TEN,2022,0.06782511,358,0.5921787709497207,0.08439897698209718
00-0029701,R.Tannehill,TEN,2023,-0.07274859,260,0.573076923076923,0.1095890410958904
00-0029747,C.Banjo,ARI,2021,3.7315283,1,1.0,0.0
00-0029857,R.Griffin,TB,2019,-0.15598038,4,0.5,0.0
00-0030085,K.Stills,HOU,2019,-2.0305705,1,0.0,0.5
00-0030140,T.Way,WAS,2024,3.9842155,1,1.0,0.0
00-0030151,T.Bray,CHI,2020,-0.26527318,4,0.25,0.0
00-0030279,K.Allen,LAC,2020,-0.517419,1,0.0,0.0
00-0030279,K.Allen,LAC,2021,0.27977222,2,0.0,0.0
00-0030279,K.Allen,LAC,2023,1.7574384,2,0.5,0.0
00-0030279,K.Allen,CHI,2024,-5.9111633,1,0.0,0.0
00-0030288,R.Burkhead,HOU,2021,-0.49312064,1,0.0,0.0
00-0030288,R.Burkhead,HOU,2022,-0.4519726,1,0.0,0.0
