team,season,qb_name,avg_separation,time_to_throw,pass_block_win_rate
DET,2021,Jared Goff,3.240557275541796,2.77,0.58
PHI,2021,Jalen Hurts,2.9729096989966552,3.12,0.67
SEA,2021,Russell Wilson,3.1307692307692307,2.8,0.61
DEN,2021,Teddy Bridgewater,3.202431610942249,2.91,0.61
CLE,2021,Baker Mayfield,2.7588235294117647,2.82,0.67
BAL,2021,Lamar Jackson,3.2282937365010804,2.96,0.62
HOU,2021,Davis Mills,3.021649484536083,2.67,0.54
MIA,2021,Tua Tagovailoa,2.768307692307692,2.52,0.47
CAR,2021,Sam Darnold,2.7402930402930403,2.88,0.5
NYG,2021,Daniel Jones,2.7854889589905363,2.78,0.54
NYJ,2021,Zach Wilson,3.3024767801857586,3.0,0.61
CHI,2021,Justin Fields,2.803678929765886,2.91,0.66
CHI,2021,Andy Dalton,2.803678929765886,2.64,0.66
MIA,2021,Jacoby Brissett,2.768307692307692,2.83,0.47
NO,2021,Jameis Winston,2.9409326424870468,3.02,0.66
NO,2021,Trevor Siemian,2.9409326424870468,2.89,0.66
BAL,2021,Tyler Huntley,3.2282937365010804,2.62,0.62
HOU,2021,Tyrod Taylor,3.021649484536083,2.79,0.54
NYG,2021,Mike Glennon,2.7854889589905363,2.71,0.54
KC,2022,Patrick Mahomes,2.9967065868263467,2.89,0.75
LAC,2022,Justin Herbert,3.303628117913832,2.86,0.57
TB,2022,Tom Brady,2.9584158415841584,2.45,0.55
MIN,2022,Kirk Cousins,3.043725490196078,2.83,0.57
CIN,2022,Joe Burrow,2.818066157760814,2.55,0.5
DET,2022,Jared Goff,2.8990654205607473,2.75,0.6
BUF,2022,Josh Allen,3.144827586206896,2.87,0.67
SEA,2022,Geno Smith,3.0514018691588785,2.81,0.63
JAX,2022,Trevor Lawrence,3.100692840646651,2.59,0.49
PHI,2022,Jalen Hurts,3.018204488778055,2.76,0.62
GB,2022,Aaron Rodgers,3.2065714285714293,2.7,0.66
MIA,2022,Tua Tagovailoa,3.131025641025641,2.6,0.55
DEN,2022,Russell Wilson,3.245454545454545,2.98,0.62
LV,2022,Derek Carr,3.0227513227513225,2.93,0.62
NYG,2022,Daniel Jones,2.8354497354497354,2.9,0.52
HOU,2022,Davis Mills,2.9822299651567943,2.78,0.6
IND,2022,Matt Ryan,2.7335483870967745,2.69,0.49
NE,2022,Mac Jones,3.106034482758621,2.69,0.61
NO,2022,Andy Dalton,2.7293478260869564,2.62,0.6
DAL,2022,Dak Prescott,2.7910941475826974,2.72,0.53
CLE,2022,Jacoby Brissett,2.655844155844156,2.89,0.68
TEN,2022,Ryan Tannehill,2.781395348837209,2.73,0.54
SF,2022,Jimmy Garoppolo,3.282285714285714,2.66,0.59
PIT,2022,Kenny Pickett,2.6680851063829785,2.98,0.65
ARI,2022,Kyler Murray,3.231435079726651,2.65,0.61
BAL,2022,Lamar Jackson,3.1444444444444444,3.0,0.66
CHI,2022,Justin Fields,3.561722488038278,3.12,0.68
ATL,2022,Marcus Mariota,2.8054852320675105,2.93,0.59
LA,2022,Baker Mayfield,3.160501567398119,2.82,0.61
LA,2022,Matthew Stafford,3.160501567398119,2.72,0.61
WAS,2022,Taylor Heinicke,3.0494011976047903,2.95,0.53
WAS,2022,Carson Wentz,3.0494011976047903,2.6,0.53
NYJ,2022,Zach Wilson,3.0201101928374654,3.13,0.57
SF,2022,Brock Purdy,3.282285714285714,2.84,0.59
PIT,2022,Mitchell Trubisky,2.6680851063829785,2.76,0.65
NYJ,2022,Mike White,3.0201101928374654,2.8,0.57
CAR,2022,Sam Darnold,2.7430303030303027,3.24,0.62
CLE,2022,Deshaun Watson,2.655844155844156,3.27,0.68
DAL,2022,Cooper Rush,2.7910941475826974,2.57,0.53
NYJ,2022,Joe Flacco,3.0201101928374654,2.75,0.57
MIA,2023,Tua Tagovailoa,3.3378181818181814,2.36,0.61
DET,2023,Jared Goff,3.140229885057472,2.72,0.65
DAL,2023,Dak Prescott,2.771971496437054,2.71,0.57
BUF,2023,Josh Allen,3.124933687002652,2.88,0.67
SF,2023,Brock Purdy,3.277464788732394,2.88,0.64
KC,2023,Patrick Mahomes,3.658545454545455,2.97,0.69
GB,2023,Jordan Love,3.2158501440922187,2.77,0.65
HOU,2023,C.J. Stroud,2.986069651741294,3.04,0.53
TB,2023,Baker Mayfield,2.8478802992518704,2.71,0.61
JAX,2023,Trevor Lawrence,2.8563084112149535,2.51,0.59
LA,2023,Matthew Stafford,3.1127551020408166,2.68,0.57
WAS,2023,Sam Howell,2.9080729166666663,2.82,0.66
NO,2023,Derek Carr,2.729761904761905,2.69,0.51
PHI,2023,Jalen Hurts,2.644475920679887,3.03,0.7
BAL,2023,Lamar Jackson,3.2023952095808386,2.95,0.68
SEA,2023,Geno Smith,2.9359281437125744,2.84,0.54
IND,2023,Gardner Minshew,2.9642276422764224,2.73,0.5
LAC,2023,Justin Herbert,3.058620689655173,2.8,0.6
DEN,2023,Russell Wilson,3.2440677966101696,3.06,0.76
CAR,2023,Bryce Young,2.7329861111111113,2.9,0.52
ATL,2023,Desmond Ridder,2.7074074074074073,2.7,0.61
CHI,2023,Justin Fields,3.22404181184669,3.23,0.59
MIN,2023,Joshua Dobbs,2.96,2.95,0.67
MIN,2023,Kirk Cousins,2.96,2.86,0.67
CIN,2023,Joe Burrow,2.9745257452574525,2.54,0.54
NYJ,2023,Zach Wilson,2.737828947368421,2.91,0.56
LV,2023,Aidan O'Connell,2.6377224199288256,2.8,0.55
NE,2023,Mac Jones,2.6377192982456137,2.46,0.5
PIT,2023,Kenny Pickett,2.6454861111111105,2.81,0.59
CIN,2023,Jake Browning,2.9745257452574525,2.73,0.54
TEN,2023,Will Levis,2.85019305019305,2.85,0.52
ARI,2023,Kyler Murray,3.2230061349693253,2.8,0.56
TEN,2023,Ryan Tannehill,2.85019305019305,2.69,0.52
CLE,2023,Joe Flacco,3.0898591549295777,3.01,0.64
NYG,2023,Tyrod Taylor,3.271428571428572,2.8,0.56
MIN,2023,Nick Mullens,2.96,3.07,0.67
NE,2023,Bailey Zappe,2.6377192982456137,2.74,0.5
LV,2023,Jimmy Garoppolo,2.6377224199288256,2.94,0.55
LAC,2023,Easton Stick,3.058620689655173,2.82,0.6
CLE,2023,Deshaun Watson,3.0898591549295777,3.06,0.64
NYG,2023,Tommy DeVito,3.271428571428572,2.99,0.56
NYG,2023,Daniel Jones,3.271428571428572,2.73,0.56
ATL,2023,Taylor Heinicke,2.7074074074074073,2.88,0.61
CHI,2023,Tyson Bagent,3.22404181184669,2.89,0.59
NYJ,2023,Trevor Siemian,2.737828947368421,2.53,0.56
CIN,2024,Joe Burrow,2.8186915887850463,2.71,0.5
DET,2024,Jared Goff,3.292063492063492,2.79,0.64
TB,2024,Baker Mayfield,2.921739130434782,2.7,0.68
SEA,2024,Geno Smith,3.137075718015666,2.83,0.58
MIN,2024,Sam Darnold,3.068571428571429,3.08,0.7
BAL,2024,Lamar Jackson,3.839365079365079,3.14,0.7
KC,2024,Patrick Mahomes,3.526388888888889,2.81,0.67
NYJ,2024,Aaron Rodgers,3.3372365339578454,2.69,0.57
LAC,2024,Justin Herbert,3.068072289156626,2.91,0.65
SF,2024,Brock Purdy,2.874540682414698,2.93,0.61
ARI,2024,Kyler Murray,2.9065104166666664,2.81,0.6
DEN,2024,Bo Nix,3.3317647058823536,2.91,0.74
LA,2024,Matthew Stafford,3.2669291338582673,2.78,0.59
BUF,2024,Josh Allen,3.30774818401937,2.89,0.68
HOU,2024,C.J. Stroud,2.955808080808081,2.98,0.58
WAS,2024,Jayden Daniels,3.186280487804878,2.68,0.66
CHI,2024,Caleb Williams,3.2529976019184654,2.92,0.6
ATL,2024,Kirk Cousins,2.9049411764705884,2.71,0.59
GB,2024,Jordan Love,3.32485549132948,2.88,0.67
PHI,2024,Jalen Hurts,2.6768907563025213,3.13,0.67
MIA,2024,Tua Tagovailoa,3.357413249211356,2.42,0.56
PIT,2024,Russell Wilson,2.8615062761506276,2.86,0.62
